timestamp,cpu_percent,memory_mb,network_rx,network_tx
1763273298,14.8,7508,5059139314,2207257015
1763273299,7.3,7534,5059140358,2207261423
1763273300,2.8,7526,5059143398,2207261595
1763273301,3.3,7532,5059144530,2207268406
1763273303,4.7,7518,5059232919,2207666867
1763273304,1.9,7486,5059256927,2207673679
1763273305,14.4,7485,5059262633,2207676028
1763273306,4.7,7492,5059265386,2207676298
1763273308,6.2,7504,5059270196,2207676677
1763273309,4.1,7543,5059270298,2207676677
1763273310,3.8,7546,5059270630,2207676677
1763273311,4.7,7541,5059271764,2207676793
1763273312,4.3,7548,5059273133,2207676793
1763273314,5.5,7522,5059296151,2207678255
1763273315,4.2,7508,5059303423,2207679567
1763273316,4.2,7495,5059315348,2207689321
1763273317,4.2,7535,5059317877,2207693773
1763273319,4.7,7518,5059318766,2207693773
1763273320,4.2,7552,5059319931,2207693773
1763273321,4.7,7559,5059320576,2207693773
1763273322,4.2,7548,5059321148,2207693773
1763273323,4.7,7547,5059322043,2207693773
1763273325,5.2,7551,5059323753,2207693773
1763273326,5.2,7548,5059324685,2207693835
1763273327,4.1,7530,5059325490,2207703591
1763273328,5.1,7530,5059414848,2208106088
1763273330,5.3,7528,5059430095,2208110481
1763273331,6.8,7518,5059434497,2208111685
1763273332,5.7,7523,5059439377,2208113061
1763273333,5.6,7503,5059445352,2208114695
1763273334,5.2,7505,5059451147,2208116341
1763273336,6.0,7516,5059455292,2208118073
1763273337,5.6,7514,5059460257,2208119977
1763273338,6.1,7557,5059467745,2208121611
1763273339,9.5,7571,5059487420,2208138307
1763273341,5.3,7614,5059506719,2208146558
1763273342,5.6,7635,5080977100,2208250216
1763273343,5.1,7662,5130557541,2208348387
1763273344,4.7,7668,5177302130,2208428630
1763273345,4.7,7746,5219828375,2208628279
1763273347,4.3,7725,5252367311,2208739849
1763273348,5.0,7733,5276744758,2208793876
1763273349,4.6,7718,5326263316,2208896261
1763273350,4.7,7804,5340963491,2208955906
1763273352,4.7,7744,5340970415,2209119345
1763273353,3.8,7748,5340977822,2209144270
1763273354,4.2,7723,5340981733,2209144649
1763273355,4.3,7680,5340982873,2209144649
1763273357,3.8,7633,5340986492,2209144735
1763273358,4.8,7613,5340987220,2209144845
1763273359,5.2,7607,5340992709,2209144931
1763273360,4.2,7596,5340993671,2209144931
1763273361,4.2,7626,5340994025,2209144931
1763273363,3.7,7615,5340994760,2209145017
1763273364,4.3,7597,5340996724,2209145017
1763273365,4.3,7592,5340999101,2209145017
1763273366,4.8,7578,5340999660,2209145017
1763273368,4.1,7599,5341000438,2209145017
1763273369,4.3,7603,5341002405,2209145017
1763273370,4.7,7615,5341003593,2209145252
1763273371,4.7,7603,5341006165,2209145838
1763273372,3.7,7600,5341007426,2209146073
1763273374,4.2,7605,5341009205,2209146073
1763273375,3.8,7600,5341010966,2209146073
1763273376,4.6,7608,5341011140,2209146073
1763273377,4.3,7627,5341021167,2209155561
1763273379,5.2,7637,5341022323,2209155561
1763273380,4.6,7647,5341023801,2209155561
1763273381,3.8,7633,5341025149,2209155561
1763273382,4.7,7627,5341026694,2209155623
1763273383,5.2,7630,5341026837,2209155623
1763273385,5.1,7641,5341027332,2209155623
